listing_id,title,category,price_fcfa,currency,neighborhood,city_region,bedrooms,surface_m2,date_posted_raw,url
6794851,Maison de 600 mètre carrés à vendre sur Kaolack,Maisons à vendre,12000000.0,XOF,Kahone,Kaolack,5.0,600.0,"17. juil., 03:21",https://www.expat-dakar.com/annonce/maison-de-600-metre-carres-a-vendre-sur-kaolack-6794851
6794565,À vendre – Superbe villa  sur un terrain de  150 m² à Sally,Maisons à vendre,130000000.0,XOF,Saly,Thiès,4.0,150.0,"30. juil., 12:45",https://www.expat-dakar.com/annonce/a-vendre-superbe-villa-sur-un-terrain-de-150-m2-a-sally-6794565
6784346,"🏝️ ÎLE DE NGOR – UN LIEU DE VIE, UN INVESTISSEMENT*",Maisons à vendre,375000000.0,XOF,Ngor,Dakar,8.0,460.0,"16. juil., 11:21",https://www.expat-dakar.com/annonce/ile-de-ngor-un-lieu-de-vie-un-investissement-6784346
6697740,Opportunité vente flash,Maisons à vendre,345000000.0,XOF,Virage,Dakar,5.0,330.0,"16. juil., 10:52",https://www.expat-dakar.com/annonce/opportunite-vente-flash-6697740
6351283,IMMEUBLE DE 150 m2 angle R+3,Maisons à vendre,200000000.0,XOF,Guediawaye,Dakar,5.0,150.0,"15. juil., 23:10",https://www.expat-dakar.com/annonce/immeuble-de-150-m2-angle-r3-6351283
6289321,MAISON DE 224 m2 A VENDRE BEN TALY,Maisons à vendre,160000000.0,XOF,Grand-Dakar,Dakar,5.0,224.0,"15. juil., 23:08",https://www.expat-dakar.com/annonce/maison-de-224-m2-a-vendre-ben-taly-6289321
6792934,VILLA A VENDRE AUX ALMADIES,Maisons à vendre,675000000.0,XOF,Almadies,Dakar,7.0,280.0,"15. juil., 16:13",https://www.expat-dakar.com/annonce/villa-a-vendre-aux-almadies-6792934
6479007,"Villa R + 1, 225 m2,  Cité Ridwan,  M'Bao TF",Maisons à vendre,150000000.0,XOF,Dakar,Dakar,3.0,225.0,"15. juil., 13:16",https://www.expat-dakar.com/annonce/villa-r-1-225-m2-cite-ridwan-mbao-tf-6479007
6626611,Maison ( F4 R+1) à vendre - Diamniadio,Maisons à vendre,150000001.0,XOF,Diamniadio,Dakar,3.0,300.0,"Aujourd'hui, 12:24",https://www.expat-dakar.com/annonce/maison-f4-r1-a-vendre-diamniadio-6626611
6704589,Villa à vendre  Saly ( quartier Niakh-nikhal),Maisons à vendre,58500000.0,XOF,Saly,Thiès,4.0,110.0,"28. avr., 17:17",https://www.expat-dakar.com/annonce/villa-a-vendre-saly-quartier-niakh-nikhal-6704589
